theme,subtheme
Reliability & Technical Performance,Bugs & Glitches
Reliability & Technical Performance,Frequent App Crashes
Reliability & Technical Performance,OTP Failures
Reliability & Technical Performance,Slow/Laggy
Reliability & Technical Performance,Payment & Server Errors
App Usability & UX,Beautiful App Design
App Usability & UX,Poor Design & Layout
App Usability & UX,Complex Navigation
Delivery Service,Quick Delivery
Delivery Service,Extreme Delays
Delivery Service,No Live Tracking
Delivery Service,Limited Delivery Zones
Customer Service,Ineffective Helpline
Customer Service,Unhelpful Staff
Customer Service,Ignored Complaints
Pricing & Value,Hidden Costs
Pricing & Value,Fake Discounts
Pricing & Value,Perceived Overpricing
Food Quality & Availability,Good Food
Food Quality & Availability,Poor Taste
Food Quality & Availability,Cold Food
Food Quality & Availability,Small Portions
Food Quality & Availability,Food or Restaurant Unavailable
Trust & Ethics,Scams & Frauds
Trust & Ethics,Fake Promotions
Trust & Ethics,Mistrust in Transactions
Trust & Ethics,Ethical Breaches.
